index,Order ID,Cust ID,Gender,Age,Age-Group,Date,Month,Status,Channel ,SKU,Category,Size,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
40,407-9654105-3225150,9654105,Women,72,Senior,12/4/2022,December,Delivered,Flipkart,J0230-SKD-M,Set,M,1,INR,969,MOHALI,PUNJAB,160062,IN,FALSE
41,402-0637532-2672317,637532,Men,39,Adult,12/4/2022,December,Delivered,Flipkart,J0159-DR-L,Western Dress,L,1,INR,599,BENGALURU,KARNATAKA,560061,IN,FALSE
42,402-0637532-2672317,637532,Women,39,Adult,12/4/2022,December,Delivered,Amazon,J0334-TP-S,Top,S,1,INR,545,PUNE,MAHARASHTRA,411051,IN,FALSE
43,404-3393819-5081930,3393819,Women,44,Adult,12/4/2022,December,Delivered,Myntra,SET397-KR-NP-XS,Set,XS,1,INR,1115,PUNE,MAHARASHTRA,412207,IN,FALSE
44,406-5673590-1054739,5673590,Women,22,Teenager,12/4/2022,December,Delivered,Meesho,SET389-KR-NP-XL,Set,XL,1,INR,648,SONIPAT,HARYANA,131001,IN,FALSE
45,403-5846829-5098742,5846829,Women,64,Senior,12/4/2022,December,Delivered,Flipkart,J0248-KR-DPT-S,Set,S,1,INR,999,NELLORE,ANDHRA PRADESH,524002,IN,FALSE
46,171-4087298-3807569,4087298,Women,30,Adult,12/4/2022,December,Delivered,Amazon,NW001-TP-PJ-XXL,Set,XXL,1,INR,563,TIRUCHIRAPPALLI,TAMIL NADU,620101,IN,FALSE
47,408-7694743-7590732,7694743,Women,46,Adult,12/4/2022,December,Delivered,Myntra,J0092-SET-S,Set,S,1,INR,833,BENGALURU,KARNATAKA,562107,IN,FALSE
48,406-8068610-1108329,8068610,Women,48,Adult,12/4/2022,December,Delivered,Nalli,JNE3770-KR-S,kurta,S,1,INR,487,PUNE,MAHARASHTRA,411014,IN,FALSE
49,171-7917674-9759550,7917674,Women,25,Teenager,12/4/2022,December,Delivered,Myntra,JNE3703-KR-M,kurta,M,1,INR,292,VARANASI,UTTAR PRADESH,221010,IN,FALSE
50,406-2709798-4585159,2709798,Men,35,Adult,12/4/2022,December,Delivered,Others,SET210-KR-PP-M,Set,M,1,INR,558,UDUPI,KARNATAKA,574118,IN,FALSE
51,405-4213846-6141157,4213846,Women,27,Teenager,12/4/2022,December,Delivered,Amazon,J0003-SET-M,Set,M,1,INR,664,HYDERABAD,TELANGANA,500039,IN,FALSE
52,407-7381557-9088310,7381557,Women,21,Teenager,12/4/2022,December,Delivered,Others,J0230-SKD-M,Set,M,1,INR,1112,Allahabad,UTTAR PRADESH,211001,IN,FALSE
53,403-0817885-3061963,817885,Women,43,Adult,12/4/2022,December,Delivered,Others,J0113-TP-S,Top,S,1,INR,540,SOUTH DELHI,DELHI,110017,IN,FALSE
54,171-2439278-5433152,2439278,Men,39,Adult,12/4/2022,December,Delivered,Myntra,SET268-KR-NP-XS,Set,XS,1,INR,698,KHALILABAD,UTTAR PRADESH,272175,IN,FALSE
55,405-8874360-4913961,8874360,Men,23,Teenager,12/4/2022,December,Delivered,Others,J0004-SKD-XXL,Set,XXL,1,INR,1115,NEW DELHI,DELHI,110016,IN,FALSE
56,408-4675134-5301129,4675134,Women,58,Adult,12/4/2022,December,Delivered,Meesho,SET209-KR-PP-XXL,Set,XXL,1,INR,507,HYDERABAD,TELANGANA,500008,IN,FALSE
57,402-9907523-6175562,9907523,Men,27,Teenager,12/4/2022,December,Delivered,Amazon,SET343-KR-NP-XS,Set,XS,1,INR,916,SULTANPUR,UTTAR PRADESH,228001,IN,FALSE
58,402-9907523-6175562,9907523,Women,38,Adult,12/4/2022,December,Delivered,Amazon,SAR008,Saree,Free,1,INR,737,MURWARA KATNI,MADHYA PRADESH,483501,IN,FALSE
59,407-7643005-7856329,7643005,Men,75,Senior,12/4/2022,December,Delivered,Flipkart,SET402-KR-NP-XXXL,Set,3XL,1,INR,988,MUMBAI,MAHARASHTRA,400063,IN,FALSE
60,407-0381223-7065145,381223,Men,47,Adult,12/4/2022,December,Delivered,Meesho,J0095-SET-XL,Set,XL,1,INR,633,CHENNAI,TAMIL NADU,600066,IN,FALSE
61,407-8538186-6616316,8538186,Women,62,Senior,12/4/2022,December,Delivered,Amazon,SET348-KR-NP-M,Set,M,1,INR,899,MAHENDRAGARH,HARYANA,123029,IN,FALSE
62,403-1785530-0119510,1785530,Women,42,Adult,12/4/2022,December,Delivered,Amazon,PJNE2100-KR-N-6XL,kurta,6XL,1,INR,764,BENGALURU,KARNATAKA,560103,IN,FALSE
63,403-0824767-1871567,824767,Women,34,Adult,12/4/2022,December,Delivered,Others,MEN5004-KR-XXXL,kurta,3XL,1,INR,688,CHENNAI,TAMIL NADU,600061,IN,FALSE
64,404-8169153-4411563,8169153,Women,20,Teenager,12/4/2022,December,Delivered,Amazon,JNE3567-KR-L,kurta,L,1,INR,399,Bangalore,KARNATAKA,560054,IN,FALSE
65,406-5169174-3536336,5169174,Women,44,Adult,12/4/2022,December,Cancelled,Myntra,JNE3568-KR-XL,kurta,XL,1,INR,399,KALYAN,MAHARASHTRA,421306,IN,FALSE
66,402-2130722-4734768,2130722,Women,24,Teenager,12/4/2022,December,Delivered,Myntra,J0090-TP-S,Top,S,1,INR,563,AHMEDABAD,GUJARAT,382470,IN,FALSE
67,404-8399604-8880365,8399604,Women,31,Adult,12/4/2022,December,Delivered,Amazon,JNE3461-KR-XL,kurta,XL,1,INR,363,KOLKATA,WEST BENGAL,700028,IN,FALSE
68,403-8213196-3804353,8213196,Men,75,Senior,12/4/2022,December,Delivered,Myntra,SET218-KR-NP-S,Set,S,1,INR,667,BOKARO STEEL CITY,JHARKHAND,827001,IN,FALSE
69,408-3286680-0659521,3286680,Women,46,Adult,12/4/2022,December,Delivered,Myntra,SAR006,Saree,Free,1,INR,685,Panchkula,HARYANA,134116,IN,FALSE
70,403-6014983-8111514,6014983,Men,48,Adult,12/4/2022,December,Delivered,Myntra,SET272-KR-PP-S,Set,S,1,INR,852,PUNE,MAHARASHTRA,411021,IN,FALSE
71,403-6950860-5590722,6950860,Women,26,Teenager,12/4/2022,December,Delivered,Amazon,SAR018,Saree,Free,1,INR,1075,PATNA,BIHAR,801113,IN,FALSE
72,406-7030051-2742704,7030051,Women,36,Adult,12/4/2022,December,Delivered,Myntra,J0094-KR-XXL,kurta,XXL,1,INR,563,NEW DELHI,DELHI,110084,IN,FALSE
73,404-6041386-2803516,6041386,Men,23,Teenager,12/4/2022,December,Delivered,Flipkart,J0283-SET-XXL,Set,XXL,1,INR,1072,KALYAN,MAHARASHTRA,421201,IN,FALSE
74,404-7958450-6860328,7958450,Men,32,Adult,12/4/2022,December,Delivered,Amazon,SET339-KR-NP-XS,Set,XS,1,INR,702,Bengaluru,KARNATAKA,560095,IN,FALSE
75,408-7814128-2203552,7814128,Women,26,Teenager,12/4/2022,December,Delivered,Nalli,SAR003,Saree,Free,1,INR,476,NAVI MUMBAI,MAHARASHTRA,400705,IN,FALSE
76,403-9793483-6877106,9793483,Men,45,Adult,12/4/2022,December,Delivered,Myntra,SET324-KR-NP-XL,Set,XL,1,INR,597,BENGALURU,KARNATAKA,560021,IN,FALSE
77,402-5297818-3665137,5297818,Women,49,Adult,12/4/2022,December,Delivered,Flipkart,SET403-KR-NP-XL,Set,XL,1,INR,969,VARKALA,KERALA,695141,IN,FALSE
78,171-2070545-3786767,2070545,Women,21,Teenager,12/4/2022,December,Delivered,Flipkart,J0349-SET-XS,Set,XS,1,INR,801,BIKANER,RAJASTHAN,334001,IN,FALSE
79,406-1756314-4546723,1756314,Women,39,Adult,12/4/2022,December,Delivered,Myntra,JNE3560-KR-XL,kurta,XL,1,INR,481,GURUGRAM,HARYANA,122001,IN,FALSE
80,404-8786932-9447520,8786932,Men,55,Adult,12/4/2022,December,Delivered,Ajio,NW034-TP-PJ-M,Set,M,1,INR,595,BHARUCH,GUJARAT,392001,IN,FALSE
81,408-8573929-1921943,8573929,Women,30,Adult,12/4/2022,December,Delivered,Flipkart,JNE3518-KR-XXL,kurta,XXL,1,INR,458,MUMBAI,MAHARASHTRA,400097,IN,FALSE
82,408-8573929-1921943,8573929,Women,46,Adult,12/4/2022,December,Delivered,Amazon,JNE3160-KR-M,kurta,M,1,INR,729,kolkata,WEST BENGAL,700082,IN,FALSE
83,407-8980704-1408352,8980704,Women,59,Adult,12/4/2022,December,Cancelled,Myntra,JNE3487-KR-M,kurta,M,1,INR,345,NOIDA,UTTAR PRADESH,201304,IN,FALSE
84,171-2516658-6849136,2516658,Women,55,Adult,12/4/2022,December,Delivered,Flipkart,JNE3560-KR-M,kurta,M,1,INR,481,CHENNAI,TAMIL NADU,600077,IN,FALSE
85,404-0105497-2446747,105497,Women,37,Adult,12/4/2022,December,Refunded,Amazon,JNE3373-KR-S,kurta,S,1,INR,382,BHANDARA,MAHARASHTRA,441701,IN,FALSE
86,406-6468339-1490707,6468339,Men,19,Teenager,12/4/2022,December,Delivered,Amazon,SET377-KR-NP-XS,Set,XS,1,INR,1036,MUMBAI,MAHARASHTRA,400093,IN,FALSE
87,402-6702100-7257107,6702100,Women,49,Adult,12/4/2022,December,Returned,Myntra,JNE3620-KR-S,kurta,S,1,INR,322,NEW DELHI,DELHI,110084,IN,FALSE
88,404-6243782-8199521,6243782,Women,33,Adult,12/4/2022,December,Delivered,Amazon,JNE3822-KR-L,kurta,L,1,INR,449,BHATKAL,KARNATAKA,581320,IN,FALSE
89,403-3641651-0348348,3641651,Men,22,Teenager,12/4/2022,December,Delivered,Amazon,SET184-KR-PP-L,Set,L,1,INR,573,MUMBAI,MAHARASHTRA,400098,IN,FALSE
90,402-7662369-2719545,7662369,Women,18,Teenager,12/4/2022,December,Delivered,Myntra,SET366-KR-NP-S,Set,S,1,INR,1163,RANCHI,JHARKHAND,834008,IN,FALSE
91,403-8575376-3341124,8575376,Women,32,Adult,12/4/2022,December,Delivered,Flipkart,SET253-KR-NP-L,Set,L,1,INR,737,HYDERABAD,TELANGANA,500020,IN,FALSE
92,403-7384618-1017125,7384618,Women,48,Adult,12/4/2022,December,Delivered,Flipkart,SET203-KR-DPT-L,Set,L,1,INR,429,CHENNAI,TAMIL NADU,600051,IN,FALSE
93,403-7384618-1017125,7384618,Women,36,Adult,12/4/2022,December,Delivered,Myntra,JNE3368-KR-XL,kurta,XL,1,INR,471,VISAKHAPATNAM,ANDHRA PRADESH,530003,IN,FALSE
94,403-3542194-2527546,3542194,Women,20,Teenager,12/4/2022,December,Delivered,Amazon,SAR028,Saree,Free,1,INR,307,Perambra,KERALA,673524,IN,FALSE
95,405-6859790-7125127,6859790,Women,48,Adult,12/4/2022,December,Delivered,Meesho,SET024-KR-SP-A-M,kurta,M,1,INR,631,GURUGRAM,HARYANA,122002,IN,FALSE
96,403-0347306-1283554,347306,Women,66,Senior,12/4/2022,December,Delivered,Amazon,JNE3794-KR-M,kurta,M,1,INR,517,HYDERABAD,TELANGANA,500090,IN,FALSE
97,406-7048232-6973930,7048232,Women,60,Adult,12/4/2022,December,Delivered,Myntra,JNE3781-KR-S,kurta,S,1,INR,427,HAMIRPUR,HIMACHAL PRADESH,177005,IN,FALSE
98,404-5516090-4385135,5516090,Men,47,Adult,12/4/2022,December,Delivered,Others,J0338-DR-S,Western Dress,S,1,INR,855,Nayagarh,ODISHA,752069,IN,FALSE
99,403-0294848-6612317,294848,Women,19,Teenager,12/4/2022,December,Delivered,Flipkart,JNE3365-KR-1052-A-XXL,kurta,XXL,1,INR,376,BENGALURU,KARNATAKA,560075,IN,FALSE
100,408-6522716-9753142,6522716,Men,48,Adult,12/4/2022,December,Delivered,Amazon,JNE3805-KR-L,kurta,L,1,INR,487,BENGALURU,KARNATAKA,562125,IN,FALSE
101,408-6522716-9753142,6522716,Men,78,Senior,12/4/2022,December,Delivered,Myntra,SET319-KR-NP-M,Set,M,1,INR,852,NEW DELHI,DELHI,110034,IN,FALSE
102,408-3094141-6564325,3094141,Women,40,Adult,12/4/2022,December,Delivered,Amazon,JNE3466-KR-XXL,kurta,XXL,1,INR,771,TIRUCHIRAPPALLI,TAMIL NADU,620017,IN,FALSE
103,405-8966819-1579535,8966819,Women,38,Adult,12/4/2022,December,Delivered,Flipkart,JNE3805-KR-M,kurta,M,1,INR,487,PUDUVAYAL,TAMIL NADU,630108,IN,FALSE
104,404-2716293-0209115,2716293,Women,21,Teenager,12/4/2022,December,Delivered,Amazon,MEN5019-KR-XL,kurta,XL,1,INR,472,HYDERABAD,TELANGANA,500045,IN,FALSE
105,403-9848998-6793100,9848998,Women,38,Adult,12/4/2022,December,Delivered,Amazon,SAR015,Saree,Free,1,INR,790,UDAIPUR,RAJASTHAN,313001,IN,FALSE
106,171-6592212-4665122,6592212,Women,25,Teenager,12/4/2022,December,Delivered,Amazon,JNE3794-KR-XS,kurta,XS,1,INR,517,PUDUCHERRY,PUDUCHERRY,605004,IN,FALSE
107,404-5467416-2849910,5467416,Women,35,Adult,12/4/2022,December,Delivered,Flipkart,SET135-KR-PP-XXXL,Set,3XL,1,INR,646,GREATER NOIDA,UTTAR PRADESH,201310,IN,FALSE
108,408-1265802-4542716,1265802,Women,23,Teenager,12/4/2022,December,Delivered,Amazon,J0338-DR-XL,Western Dress,XL,1,INR,743,SECUNDERABAD,TELANGANA,500011,IN,FALSE
109,171-9585512-1214755,9585512,Women,61,Senior,12/4/2022,December,Delivered,Myntra,JNE2251-KR-537-XXL,kurta,XXL,1,INR,399,new delhi,DELHI,110063,IN,FALSE
110,405-6513430-0509918,6513430,Women,40,Adult,12/4/2022,December,Delivered,Flipkart,SET272-KR-PP-M,Set,M,1,INR,852,GREATER NOIDA,UTTAR PRADESH,201306,IN,FALSE
111,406-7694216-8034754,7694216,Men,32,Adult,12/4/2022,December,Delivered,Flipkart,SET197-KR-NP-M,Set,M,1,INR,759,MYSURU,KARNATAKA,570034,IN,FALSE
112,408-5911668-5550717,5911668,Women,31,Adult,12/4/2022,December,Delivered,Nalli,J0301-TP-XL,Top,XL,1,INR,493,NEW DELHI,DELHI,110059,IN,FALSE
113,404-5364170-6523532,5364170,Women,29,Teenager,12/4/2022,December,Delivered,Amazon,JNE3518-KR-XXL,kurta,XXL,1,INR,458,JAIPUR,RAJASTHAN,303002,IN,FALSE
114,405-3614770-5449966,3614770,Women,27,Teenager,12/4/2022,December,Delivered,Amazon,JNE3405-KR-M,kurta,M,1,INR,435,BIDAR,KARNATAKA,585401,IN,FALSE
115,404-1246579-1197122,1246579,Women,48,Adult,12/4/2022,December,Delivered,Amazon,SET251-KR-PP-XS,Set,XS,1,INR,759,BABUGARH,UTTAR PRADESH,245201,IN,FALSE
116,406-6695683-9996343,6695683,Men,30,Adult,12/4/2022,December,Cancelled,Myntra,SET282-KR-PP-L,Set,L,1,INR,1043,THANE,MAHARASHTRA,400606,IN,FALSE
117,404-1994186-3865941,1994186,Men,71,Senior,12/4/2022,December,Delivered,Myntra,SET268-KR-NP-M,Set,M,1,INR,698,UDAIPUR,RAJASTHAN,313001,IN,FALSE
118,404-0172471-1609129,172471,Women,41,Adult,12/4/2022,December,Delivered,Flipkart,JNE3648-TP-N-S,Top,S,1,INR,518,DOHAD,GUJARAT,389151,IN,FALSE
119,406-0681598-4591519,681598,Men,28,Teenager,12/4/2022,December,Delivered,Myntra,J0308-DR-XXL,Western Dress,XXL,1,INR,625,Barasat,WEST BENGAL,700124,IN,FALSE
120,407-1388772-0703516,1388772,Women,19,Teenager,12/4/2022,December,Delivered,Flipkart,MEN5026-KR-XXXL,kurta,3XL,1,INR,499,INDORE,MADHYA PRADESH,452001,IN,FALSE
121,408-3131740-5067529,3131740,Women,25,Teenager,12/4/2022,December,Delivered,Myntra,JNE3642-TP-XS,Top,XS,1,INR,321,MUMBAI,MAHARASHTRA,400053,IN,FALSE
122,402-5496750-0331528,5496750,Women,57,Adult,12/4/2022,December,Delivered,Nalli,SET229-KR-PP-XS,Set,XS,1,INR,845,NAGAUR,RAJASTHAN,341305,IN,FALSE
123,402-5496750-0331528,5496750,Women,73,Senior,12/4/2022,December,Delivered,Amazon,J0132-KR-XS,kurta,XS,1,INR,358,NEW DELHI,DELHI,110085,IN,FALSE
124,403-0816846-6852364,816846,Women,50,Adult,12/4/2022,December,Delivered,Flipkart,JNE1234-MULTI-KR-032-XL,kurta,XL,1,INR,307,Coimbatore,TAMIL NADU,641031,IN,FALSE
125,408-0278400-0572330,278400,Women,31,Adult,12/4/2022,December,Delivered,Ajio,PJNE3068-KR-6XL,kurta,6XL,1,INR,692,NAVI MUMBAI,MAHARASHTRA,400701,IN,FALSE
126,403-8079606-6799503,8079606,Men,33,Adult,12/4/2022,December,Delivered,Ajio,SET313-KR-NP-XS,Set,XS,1,INR,1099,NEW DELHI,DELHI,110003,IN,FALSE
127,171-4636514-5082740,4636514,Women,31,Adult,12/4/2022,December,Delivered,Myntra,SET282-KR-PP-M,Set,M,1,INR,1033,BARASAT,WEST BENGAL,700124,IN,FALSE
128,406-9847734-4402766,9847734,Women,44,Adult,12/4/2022,December,Delivered,Myntra,JNE1525-KR-UDF19BLACK-XS,kurta,XS,1,INR,301,COIMBATORE,TAMIL NADU,641027,IN,FALSE
129,403-8860022-0290733,8860022,Women,26,Teenager,12/4/2022,December,Delivered,Myntra,JNE3691-TU-L,Top,L,1,INR,625,RANCHI,JHARKHAND,834002,IN,FALSE
130,408-1669205-3638714,1669205,Women,25,Teenager,12/4/2022,December,Delivered,Myntra,JNE3399-KR-M,kurta,M,1,INR,435,SANGAREDDY,TELANGANA,502001,IN,FALSE
131,406-6737238-3993139,6737238,Women,49,Adult,12/4/2022,December,Delivered,Amazon,JNE3790-KR-XXXL,kurta,3XL,1,INR,307,PUNE,MAHARASHTRA,411041,IN,FALSE
132,402-9605076-2885164,9605076,Men,59,Adult,12/4/2022,December,Delivered,Amazon,SET268-KR-NP-L,Set,L,1,INR,788,Buxar,BIHAR,802133,IN,FALSE
133,406-9542566-5579564,9542566,Women,21,Teenager,12/4/2022,December,Delivered,Amazon,SET393-KR-NP-M,Set,M,1,INR,999,KANJIKODE INDUSTRIAL AREA,KERALA,678623,IN,FALSE
134,408-1540604-8952365,1540604,Women,31,Adult,12/4/2022,December,Delivered,Amazon,J0329-KR-XS,kurta,XS,1,INR,852,HYDERABAD,TELANGANA,508126,IN,FALSE
135,405-9367631-7902714,9367631,Women,34,Adult,12/4/2022,December,Delivered,Amazon,SET397-KR-NP  -M,Set,M,1,INR,999,ALLAHABAD,UTTAR PRADESH,211002,IN,FALSE
136,403-0595996-9383507,595996,Men,72,Senior,12/4/2022,December,Delivered,Amazon,J0008-SKD-M,Set,M,1,INR,1075,DIU,DADRA AND NAGAR,362520,IN,FALSE
137,407-8256896-7645127,8256896,Men,22,Teenager,12/4/2022,December,Delivered,Amazon,SET320-KR-NP-S,Set,S,1,INR,845,PATNA,BIHAR,801505,IN,FALSE
138,407-1064158-5677135,1064158,Men,35,Adult,12/4/2022,December,Delivered,Myntra,J0003-SET-S,Set,S,1,INR,664,Yacharam,TELANGANA,501509,IN,FALSE
139,407-2727693-8699567,2727693,Women,31,Adult,12/4/2022,December,Delivered,Flipkart,SET304-KR-DPT-M,Set,M,1,INR,1186,Kannur,KERALA,670304,IN,FALSE
140,171-6844452-3288337,6844452,Men,34,Adult,12/4/2022,December,Returned,Meesho,J0382-SKD-XXL,Set,XXL,1,INR,1258,Port blair,ANDAMAN & NICOBAR ,744103,IN,FALSE
141,171-6908439-1987505,6908439,Women,46,Adult,12/4/2022,December,Refunded,Amazon,JNE3405-KR-XXL,kurta,XXL,1,INR,399,MUZAFFARNAGAR,UTTAR PRADESH,251001,IN,FALSE
142,406-9626742-4153157,9626742,Men,63,Senior,12/4/2022,December,Delivered,Amazon,JNE3797-KR-A-M,Western Dress,M,1,INR,771,MANMAD,MAHARASHTRA,423104,IN,FALSE
143,403-9383537-0791567,9383537,Women,33,Adult,12/4/2022,December,Delivered,Amazon,JNE3611-KR-XXL,kurta,XXL,1,INR,459,SURYAPET,TELANGANA,508213,IN,FALSE
